node_id,hour,te,q_rem,penalty_cost,revenue
5021266,87864,426.0639,0.9856,6,23100.3427
5021266,8760,83.2706,0.9972,7,3596.2676
5021266,17520,93.6323,0.9968,7,3926.7249
5021266,26280,118.7368,0.9960,7,4978.9661
5021266,35040,147.6026,0.9950,7,6424.1333
5021266,43800,165.4927,0.9944,7,7487.1362
5021266,52560,177.0201,0.9940,7,8318.3186
5021266,61320,225.2701,0.9924,7,13616.0737
5021266,70080,270.4769,0.9909,7,16233.6192
5021266,78840,283.9456,0.9904,7,16769.5362
5021266,87600,293.0467,0.9901,7,17391.6224
5021266,87864,295.4230,0.9900,7,17459.1340
5021268,8760,1322.3431,0.9554,1,36916.4107
5021268,17520,2258.9267,0.9238,1,50745.9039
5021268,26280,3286.4074,0.8892,1,67350.1943
5021268,35040,4170.0383,0.8594,1,82808.0094
5021268,43800,4968.9278,0.8325,1,94196.5550
5021268,52560,5749.4732,0.8062,1,104079.6379
5021268,61320,6558.0491,0.7790,1,124005.2075
5021268,70080,7302.2038,0.7538,1,139621.0680
5021268,78840,7971.4407,0.7313,1,148893.3866
